ＮＯ,受注,ベース,材質,種別１,種別２,ＪＡＮ,表示,デザイン,すみ分け,付加,付加,産地,銘柄,ＫＧ,画像,詳細
52,1028137,565,小袋大,【食味王】,―,ＪＡＮ,表示,デザイン,終了,―,―,京都府丹後,コシヒカリ,2,https://www.dropbox.com/scl/fi/0xf0wcosh6dirfhdzyg30/1028137A.jpg?rlkey=ekjhhv8dk7sg5qgk7xm293tk1&st=26sl3gya&dl=0,
53,1036629,565,小袋大,【食味王】,―,―,表示,デザイン,スポット中心,―,―,京都府丹後,コシヒカリ,2,https://www.dropbox.com/scl/fi/ql52ym7tz5puh1u9c5txd/1036629A.jpg?rlkey=s8ffhrr8cdqrhx0htx3nehgq0&st=ex3xb60q&dl=0,25年5月迄
54,1173855,565,小袋大,【食味王】,―,―,表示,デザイン,スポット中心,―,脱酸素剤,京都府丹後,コシヒカリ,2,https://www.dropbox.com/scl/fi/6uybsgx1gg9lvk2l6jkmm/1173855A.jpg?rlkey=38iwxw0kconekpg99tcsf28sl&st=nkcflnjj&dl=0,
55,1066257,594,小袋中,【食味王】,―,ＪＡＮ,表示,デザイン,終了,―,―,熊本県,森のくまさん,1,https://www.dropbox.com/scl/fi/l9ammetb7nchsif2crywx/1066257A.jpg?rlkey=j5qg2cjh71t2dycgnepoyljbi&st=r31nezqz&dl=0,
56,1028249,594,小袋中,【食味王】,―,―,表示,デザイン,スポット中心,―,―,熊本県,森のくまさん,1,https://www.dropbox.com/scl/fi/hjkhxdi2cy16ayu40c0e0/1028249A.jpg?rlkey=it2n6koypuos80beiyybl5fb3&st=9a3siu6p&dl=0,25年5月迄
57,1244704,565,小袋大,【食味王】,―,―,表示,デザイン,スポット中心,―,―,熊本県,森のくまさん,1.5,https://www.dropbox.com/scl/fi/d0epotdk9bbv8puinpwsc/1244704A.jpg?rlkey=yfaq089pkj4odz7vz6w328902&st=cm64ufbq&dl=0,"大和様
25年7月末迄"
58,1055582,565,小袋大,【食味王】,―,ＪＡＮ,表示,デザイン,終了,―,―,熊本県,森のくまさん,2,https://www.dropbox.com/scl/fi/7jjw58vwd82kkxe3c0ruh/1055582A.jpg?rlkey=cs9ho8mpoeujr5clketp3qf3p&st=m16k8lni&dl=0,
59,1024475,565,小袋大,【食味王】,―,―,表示,デザイン,スポット中心,―,―,熊本県,森のくまさん,2,https://www.dropbox.com/scl/fi/wuekouw1d4brfhit20n1z/1024475A.jpg?rlkey=5su8w35mi1ifjatxwogaatnk0&st=zk0y8kea&dl=0,
60,1180745,565,小袋大,【食味王】,―,―,表示,デザイン,終了,特栽米,―,熊本県,森のくまさん,2,https://www.dropbox.com/scl/fi/je2cc7g1cbxy5hyn8p7tb/1180745A.jpg?rlkey=4grqekmr1zm0hc98ccts56rw8&st=2hkv2md6&dl=0,
61,1180747,594,小袋中,【食味王】,―,―,―,ガイドライン,終了,特栽米,―,熊本県,森のくまさん,―,https://www.dropbox.com/scl/fi/swvu8clve055ltlzobhs7/1180747A.jpg?rlkey=rmicqi7l5qtup56jiu9lvw334&st=22fnzue4&dl=0,
62,1186842,594,小袋中,【食味王】,おくさま印マーク,―,表示,デザイン,終了,―,新米,高知県,南国そだち,2,https://www.dropbox.com/scl/fi/st7lhkfvy3ka38omk7ybw/1186842A.jpg?rlkey=39jtczrr1ih8bji5xzssw9sq5&st=jlecrwcq&dl=0,
63,1088272,565,小袋大,【食味王】,四万十川,―,表示,デザイン,終了,棚田米,―,高知県,ヒノヒカリ,2,https://www.dropbox.com/scl/fi/mfff0t829f8wfs551b3wq/1088272A.jpg?rlkey=03q13zquaw01ct3gs5gbx8d8c&st=5nd2t9el&dl=0,
64,1197411,565,小袋大,【食味王】,魚のゆりかご水田,―,表示,デザイン,スポット中心,特栽米,脱酸素剤,滋賀県,コシヒカリ,2,https://www.dropbox.com/scl/fi/typqtkbv63txq356mrcii/1197411A.jpg?rlkey=lsn0jq8xpzob9ztltlav98tvx&st=wovqk5ld&dl=0,
